District,Area,Post Code,Charge(1kg),Charge(2kg),Charge(3kg),,
Dhaka,Atipara(Dakshinkhan),,69,84,99,,
Dhaka,Kotbari (Dakshinkhan),,69,84,99,,
Dhaka,Dewan City(Dakshinkhan),,69,84,99,,
Dhaka,Mollartek(Dakshinkhan),,69,84,99,,
Dhaka,Gawair(Dakshinkhan),,69,84,99,,
Dhaka,Kosaibari (Dakshinkhan),,69,84,99,,
Dhaka,Prembagan(Dakshinkhan),,69,84,99,,
Dhaka,Kachkura(Dakshinkhan),,69,84,99,,
Dhaka,Helal Market(Dakshinkhan),,69,84,99,,
Dhaka,Chamur Khan(Dakshinkhan),,69,84,99,,
Dhaka,Army housing Society(Dakshinkhan),,69,84,99,,
Dhaka,Ismailkholla(Dakshinkhan),,69,84,99,,
Dhaka,Masterpara(Dakshinkhan),,69,84,99,,
Dhaka,Khilgaon C Block (Dhaka),,69,84,99,,
Dhaka,Barua(Dakshinkhan),,69,84,99,,
Dhaka,Namapara (Khilkhet),,69,84,99,,
Dhaka,Ahalia (Uttara Sector-14),,69,84,99,,
Dhaka,Ainusbag-Dakshinkhan,,69,84,99,,
Dhaka,Diabari (Uttara sector-18),,69,84,99,,
Dhaka,Habib Market (Uttara Sector-5),,69,84,99,,
Dhaka,Pakuria Bazar (Uttara),,69,84,99,,
Dhaka,Jahurul Islam Avenue (Aftabnagar),,69,84,99,,
Dhaka,Gulbagh(Dhaka),,69,84,99,,
Dhaka,Meradiya Bazar(Dhaka),,69,84,99,,
Dhaka,Mirbagh(Dhaka),,69,84,99,,
Dhaka,Modhubagh(Dhaka),,69,84,99,,
Dhaka,Rampura TV center(Dhaka),,69,84,99,,
Dhaka,TB gate (Mohakhali),,69,84,99,,
Dhaka,Ulan road(Dhaka),,69,84,99,,
Dhaka,Mirpur 10 Circle(Mirpur),,69,84,99,,
Dhaka,Mirpur-1-block-C (Dhaka),,69,84,99,,
Dhaka,Bazar Road - Manikdi(Mirpur),,69,84,99,,
Dhaka,Police Staff College(Mirpur),,69,84,99,,
Dhaka,Technical (Kallayanpur),,69,84,99,,
Dhaka,NAM Garden-BRTA (Mirpur-13),,69,84,99,,
Dhaka,Benaroshi Polli(Mirpur),,69,84,99,,
Dhaka,Tamanna Park(Beribadh-Mirpur),,69,84,99,,
Dhaka,Buddhijibi (Mazar Road-Mirpur),,69,84,99,,
Dhaka,Hope School Road (Mirpur-13),,69,84,99,,
Dhaka,Buddhist Temple(Mirpur-13),,69,84,99,,
Dhaka,Palasnagor(Mirpur 11),,69,84,99,,
Dhaka,Purobi Bus Stand(Mirpur),,69,84,99,,
Dhaka,Govt Secondary School Road Rupnagor(Mirpur),,69,84,99,,
Dhaka,Senpara Parbata(Mirpur 10),,69,84,99,,
Dhaka,BRTA(Mirpur),,69,84,99,,
Dhaka,South Kafrul (Mirpur),,69,84,99,,
Dhaka,Niketon Bazar Gate (Niketon),987,69,84,99,,
